play_id,old_game_id,personnel,play_action
669,2019122300,11,0
690,2019122300,11,0
711,2019122300,11,1
735,2019122300,21,0
756,2019122300,21,1
778,2019122300,11,0
952,2019122300,21,1
985,2019122300,12,1
1031,2019122300,21,1
1155,2019122300,11,0
1176,2019122300,11,0
1204,2019122300,12,0
1225,2019122300,12,1
1292,2019122300,11,1
1326,2019122300,21,0
1347,2019122300,13,0
1368,2019122300,11,0
1392,2019122300,12,0
1413,2019122300,11,1
1437,2019122300,22,0
1459,2019122300,11,0
1601,2019122300,11,0
1627,2019122300,11,1
1756,2019122300,11,1
1797,2019122300,11,0
1825,2019122300,11,0
1966,2019122300,11,0
1988,2019122300,11,0
2079,2019122300,11,0
2103,2019122300,11,0
2132,2019122300,11,0
2161,2019122300,11,0
2202,2019122300,11,0
2375,2019122300,12,0
2396,2019122300,12,1
2418,2019122300,11,0
2442,2019122300,11,0
2463,2019122300,12,0
2484,2019122300,11,1
2503,2019122300,11,0
2690,2019122300,11,0
2711,2019122300,12,0
2732,2019122300,11,0
2756,2019122300,12,0
2777,2019122300,11,0
2801,2019122300,11,0
2822,2019122300,12,0
2846,2019122300,11,0
2868,2019122300,11,0
3080,2019122300,11,0
3104,2019122300,11,0
3125,2019122300,11,0
3153,2019122300,12,1
3177,2019122300,11,0
3226,2019122300,11,0
3356,2019122300,12,0
3377,2019122300,11,1
3401,2019122300,21,0
3689,2019122300,12,0
3710,2019122300,12,0
3751,2019122300,12,0
205,2019122905,11,0
227,2019122905,11,0
258,2019122905,11,0
569,2019122905,21,1
591,2019122905,11,1
613,2019122905,11,0
646,2019122905,21,0
667,2019122905,12,0
689,2019122905,12,0
710,2019122905,13,0
731,2019122905,21,0
753,2019122905,12,0
774,2019122905,11,0
840,2019122905,11,0
982,2019122905,12,0
1003,2019122905,21,0
1041,2019122905,11,0
1074,2019122905,21,0
1095,2019122905,21,1
1167,2019122905,11,0
1330,2019122905,11,0
1351,2019122905,11,0
1372,2019122905,11,1
1394,2019122905,11,0
1803,2019122905,12,1
1828,2019122905,11,1
1862,2019122905,11,0
1897,2019122905,11,0
1935,2019122905,11,0
1969,2019122905,11,0
1990,2019122905,11,0
2023,2019122905,11,0
2045,2019122905,11,0
2254,2019122905,12,0
2280,2019122905,12,1
2302,2019122905,11,0
2331,2019122905,11,0
2352,2019122905,11,0
2401,2019122905,11,1
2423,2019122905,11,0
2452,2019122905,11,0
2650,2019122905,11,0
2679,2019122905,11,0
2700,2019122905,12,1
2728,2019122905,11,0
2749,2019122905,13,1
2778,2019122905,11,0
2807,2019122905,11,1
2836,2019122905,21,0
2860,2019122905,12,1
2884,2019122905,11,0
2906,2019122905,12,0
2945,2019122905,11,0
3099,2019122905,21,0
3120,2019122905,11,0
3149,2019122905,11,0
3190,2019122905,12,1
3212,2019122905,11,0
3246,2019122905,11,0
3267,2019122905,11,1
3296,2019122905,11,0
3317,2019122905,11,0
3339,2019122905,12,0
3378,2019122905,11,0
3614,2019122905,11,0
3636,2019122905,11,0
3658,2019122905,11,0
3829,2019122905,11,0
3850,2019122905,11,0
3871,2019122905,11,0
3892,2019122905,11,0
3921,2019122905,11,0
3947,2019122905,11,0
3969,2019122905,11,0
4175,2019122905,12,0
4196,2019122905,12,0
4222,2019122905,11,0
4246,2019122905,11,1
4279,2019122905,11,0
4329,2019122905,11,0
4351,2019122905,11,0
4478,2019122905,11,0
4510,2019122905,11,0
4534,2019122905,11,0
4563,2019122905,11,0
4604,2019122905,11,0
4642,2019122905,11,0
36,2020011201,12,0
51,2020011201,12,1
72,2020011201,11,0
101,2020011201,11,0
140,2020011201,11,0
161,2020011201,11,0
185,2020011201,21,0
206,2020011201,12,0
227,2020011201,11,0
458,2020011201,12,0
480,2020011201,12,0
501,2020011201,11,0
624,2020011201,20,0
645,2020011201,12,0
666,2020011201,11,0
701,2020011201,11,0
914,2020011201,12,1
955,2020011201,12,1
984,2020011201,12,1
1008,2020011201,12,0
1032,2020011201,13,1
1067,2020011201,11,0
1100,2020011201,12,0
1121,2020011201,13,0
1154,2020011201,13,0
1175,2020011201,11,0
1197,2020011201,14,0
1237,2020011201,12,0
1490,2020011201,12,0
1511,2020011201,11,0
1535,2020011201,12,1
1559,2020011201,21,0
1581,2020011201,21,1
1616,2020011201,12,0
1635,2020011201,12,0
1679,2020011201,12,0
1717,2020011201,11,0
1755,2020011201,12,0
1793,2020011201,11,0
1826,2020011201,11,0
2398,2020011201,12,0
2420,2020011201,12,0
2444,2020011201,11,0
2468,2020011201,13,0
2489,2020011201,13,1
2889,2020011201,12,0
2927,2020011201,12,0
2948,2020011201,21,0
3279,2020011201,12,1
3301,2020011201,12,0
3323,2020011201,11,0
3347,2020011201,12,0
3368,2020011201,12,1
3400,2020011201,11,0
3421,2020011201,11,0
3443,2020011201,11,0
3632,2020011201,13,0
3687,2020011201,13,1
3709,2020011201,11,0
3738,2020011201,12,0
3776,2020011201,12,0
3820,2020011201,11,0
133,2020011901,12,0
154,2020011901,12,1
187,2020011901,12,1
215,2020011901,11,0
236,2020011901,11,0
473,2020011901,11,0
497,2020011901,11,1
534,2020011901,22,0
555,2020011901,11,0
576,2020011901,11,0
792,2020011901,11,0
813,2020011901,12,0
841,2020011901,11,0
1049,2020011901,11,1
1073,2020011901,11,0
1098,2020011901,12,0
1119,2020011901,21,0
1140,2020011901,11,0
1161,2020011901,11,0
1454,2020011901,11,0
1478,2020011901,11,0
1505,2020011901,11,0
1527,2020011901,11,0
1699,2020011901,11,0
1723,2020011901,11,0
1760,2020011901,11,0
1858,2020011901,11,0
1887,2020011901,11,0
1909,2020011901,11,1
1947,2020011901,21,1
1975,2020011901,11,0
1996,2020011901,11,1
2020,2020011901,11,1
2048,2020011901,11,0
2080,2020011901,11,0
2103,2020011901,11,0
2133,2020011901,21,1
2161,2020011901,11,0
2450,2020011901,21,1
2483,2020011901,21,0
2512,2020011901,21,0
2538,2020011901,11,0
2565,2020011901,11,0
2600,2020011901,11,0
2632,2020011901,11,0
2656,2020011901,11,0
2685,2020011901,11,0
2717,2020011901,11,0
2770,2020011901,11,0
2795,2020011901,11,0
2869,2020011901,11,1
3037,2020011901,11,1
3062,2020011901,11,0
3088,2020011901,11,0
3112,2020011901,11,0
3137,2020011901,11,0
3166,2020011901,11,0
3203,2020011901,11,0
3674,2020011901,11,0
